timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-02-01T00:01:52.772867+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,94%
2025-02-01T01:01:55.505033+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,1.8 km/h,88%
2025-02-01T02:01:42.760332+07:00,Đà Nẵng,59,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,1.8 km/h,88%
2025-02-01T03:01:53.330366+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,5.5 km/h,88%
2025-02-01T04:01:43.614327+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,1.8 km/h,94%
2025-02-01T05:01:58.095777+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,94%
2025-02-01T06:01:43.131985+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,3.7 km/h,94%
2025-02-01T07:04:42.043453+07:00,Đà Nẵng,53,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,3.7 km/h,94%
2025-02-01T08:28:50.380544+07:00,Đà Nẵng,61,/dl/web/weather/ic-w-02-new-clouds-full.svg,0.0 km/h,88%
2025-02-01T09:23:42.067158+07:00,Đà Nẵng,65,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,78%
2025-02-01T10:05:00.429594+07:00,Đà Nẵng,65,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,69%
2025-02-01T11:01:48.389926+07:00,Đà Nẵng,71,/dl/web/weather/ic-w-02-new-clouds-full.svg,1.8 km/h,69%
2025-02-01T12:01:59.568909+07:00,Đà Nẵng,63,/dl/web/weather/ic-w-02-new-clouds-full.svg,5.5 km/h,65%
2025-02-01T13:01:58.187821+07:00,Đà Nẵng,56,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,61%
2025-02-01T14:01:57.085909+07:00,Đà Nẵng,54,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,65%
2025-02-01T15:01:58.499060+07:00,Đà Nẵng,54,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,61%
2025-02-01T16:01:45.686121+07:00,Đà Nẵng,44,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,65%
2025-02-01T17:01:55.755105+07:00,Đà Nẵng,47,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,65%
2025-02-01T18:01:33.767791+07:00,Đà Nẵng,47,/dl/web/weather/ic-w-02-new-clouds-full.svg,7.4 km/h,73%
2025-02-01T19:02:03.347600+07:00,Đà Nẵng,52,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,7.4 km/h,78%
