timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-02T01:42:49.679609+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T01:43:49.194621+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T01:46:37.060705+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T01:48:09.020509+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T01:49:14.570103+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T02:04:05.853750+07:00,Đà Nẵng,56,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,94%
2025-12-02T03:01:48.161623+07:00,Đà Nẵng,55,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,88%
2025-12-02T04:01:35.224851+07:00,Đà Nẵng,42,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,88%
2025-12-02T05:01:38.416015+07:00,Đà Nẵng,54,/dl/assets/svg/weather/ic-weather-03n.svg,2.3 km/h,94%
2025-12-02T06:02:00.641031+07:00,Đà Nẵng,60,/dl/assets/svg/weather/ic-weather-02n.svg,1.1 km/h,94%
2025-12-02T07:04:44.652140+07:00,Đà Nẵng,67,/dl/assets/svg/weather/ic-weather-02d.svg,5.7 km/h,94%
2025-12-02T08:29:32.074135+07:00,Đà Nẵng,66,/dl/assets/svg/weather/ic-weather-03d.svg,2.3 km/h,88%
2025-12-02T09:31:36.373894+07:00,Đà Nẵng,82,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,83%
2025-12-02T10:25:23.967543+07:00,Đà Nẵng,73,/dl/assets/svg/weather/ic-weather-04d.svg,3.4 km/h,78%
2025-12-02T11:07:36.322551+07:00,Đà Nẵng,60,/dl/assets/svg/weather/ic-weather-04d.svg,4.6 km/h,74%
2025-12-02T12:01:56.014639+07:00,Đà Nẵng,60,/dl/assets/svg/weather/ic-weather-04d.svg,4.6 km/h,74%
2025-12-02T13:02:26.975916+07:00,Đà Nẵng,65,/dl/assets/svg/weather/ic-weather-04d.svg,8.1 km/h,78%
2025-12-02T14:03:01.146330+07:00,Đà Nẵng,70,/dl/assets/svg/weather/ic-weather-04d.svg,11.5 km/h,78%
