timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-01-01T00:01:28.512972+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,16.7 km/h,80%
2026-01-01T01:02:20.218634+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,80%
2026-01-01T02:01:46.801204+07:00,Hồ Chí Minh,69,/dl/assets/svg/weather/ic-weather-01n.svg,7.4 km/h,80%
2026-01-01T03:02:10.451030+07:00,Hồ Chí Minh,65,/dl/assets/svg/weather/ic-weather-04n.svg,11.1 km/h,80%
2026-01-01T04:01:46.587597+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-02n.svg,13 km/h,82%
2026-01-01T05:02:00.306195+07:00,Hồ Chí Minh,69,/dl/assets/svg/weather/ic-weather-02n.svg,7.4 km/h,83%
2026-01-01T06:01:41.948713+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,7.4 km/h,83%
2026-01-01T07:06:01.388999+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01d.svg,4.8 km/h,82%
2026-01-01T08:30:20.310455+07:00,Hồ Chí Minh,103,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,77%
2026-01-01T09:43:38.017263+07:00,Hồ Chí Minh,107,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,71%
2026-01-01T10:31:42.024557+07:00,Hồ Chí Minh,105,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,67%
2026-01-01T11:19:36.347461+07:00,Hồ Chí Minh,94,/dl/assets/svg/weather/ic-weather-02d.svg,5.5 km/h,65%
2026-01-01T12:06:54.759045+07:00,Hồ Chí Minh,94,/dl/assets/svg/weather/ic-weather-03d.svg,9.6 km/h,63%
2026-01-01T13:02:32.631590+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-03d.svg,9.6 km/h,63%
2026-01-01T14:03:32.210074+07:00,Hồ Chí Minh,99,/dl/assets/svg/weather/ic-weather-02d.svg,11.1 km/h,58%
2026-01-01T15:02:16.975614+07:00,Hồ Chí Minh,96,/dl/assets/svg/weather/ic-weather-02d.svg,11.1 km/h,58%
2026-01-01T16:03:18.941392+07:00,Hồ Chí Minh,93,/dl/assets/svg/weather/ic-weather-01d.svg,6.4 km/h,57%
2026-01-01T17:02:05.131911+07:00,Hồ Chí Minh,96,/dl/assets/svg/weather/ic-weather-01d.svg,6.4 km/h,57%
2026-01-01T18:01:36.160728+07:00,Hồ Chí Minh,96,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,61%
2026-01-01T19:02:33.483228+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-01n.svg,16.7 km/h,75%
2026-01-01T20:11:54.853673+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,18.5 km/h,75%
2026-01-01T21:01:51.439222+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,18.5 km/h,75%
2026-01-01T22:02:13.623674+07:00,Hồ Chí Minh,75,/dl/assets/svg/weather/ic-weather-01n.svg,13 km/h,71%
2026-01-01T23:02:15.459834+07:00,Hồ Chí Minh,66,/dl/assets/svg/weather/ic-weather-01n.svg,11.1 km/h,68%
2026-01-02T00:02:49.156811+07:00,Hồ Chí Minh,62,/dl/assets/svg/weather/ic-weather-01n.svg,3.7 km/h,69%
2026-01-02T01:02:29.253580+07:00,Hồ Chí Minh,56,/dl/assets/svg/weather/ic-weather-01n.svg,7.4 km/h,72%
2026-01-02T02:01:38.908307+07:00,Hồ Chí Minh,58,/dl/assets/svg/weather/ic-weather-01n.svg,9.3 km/h,77%
2026-01-02T03:01:49.684802+07:00,Hồ Chí Minh,64,/dl/assets/svg/weather/ic-weather-01n.svg,5.5 km/h,78%
2026-01-02T04:01:38.438371+07:00,Hồ Chí Minh,71,/dl/assets/svg/weather/ic-weather-01n.svg,6.4 km/h,76%
2026-01-02T05:02:06.806801+07:00,Hồ Chí Minh,77,/dl/assets/svg/weather/ic-weather-01n.svg,3.7 km/h,80%
2026-01-02T06:01:36.635798+07:00,Hồ Chí Minh,97,/dl/assets/svg/weather/ic-weather-01n.svg,3.7 km/h,80%
2026-01-02T07:05:02.694062+07:00,Hồ Chí Minh,131,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,80%
2026-01-02T08:29:36.381386+07:00,Hồ Chí Minh,143,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,77%
2026-01-02T09:36:48.492277+07:00,Hồ Chí Minh,129,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,69%
2026-01-02T10:29:51.034069+07:00,Hồ Chí Minh,126,/dl/assets/svg/weather/ic-weather-01d.svg,5.5 km/h,63%
2026-01-02T11:15:26.204733+07:00,Hồ Chí Minh,122,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,60%
2026-01-02T12:05:01.605443+07:00,Hồ Chí Minh,119,/dl/assets/svg/weather/ic-weather-01d.svg,7.4 km/h,60%
2026-01-02T13:02:25.740167+07:00,Hồ Chí Minh,96,/dl/assets/svg/weather/ic-weather-01d.svg,11.1 km/h,62%
2026-01-02T14:03:37.657321+07:00,Hồ Chí Minh,88,/dl/assets/svg/weather/ic-weather-02d.svg,9.3 km/h,57%
2026-01-02T15:02:19.155202+07:00,Hồ Chí Minh,84,/dl/assets/svg/weather/ic-weather-02d.svg,9.3 km/h,57%
2026-01-02T16:03:11.036156+07:00,Hồ Chí Minh,84,/dl/assets/svg/weather/ic-weather-03d.svg,11.1 km/h,58%
