timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-06-01T00:01:56.728004+07:00,Hải Phòng,57,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,11.1 km/h,84%
2025-06-01T01:01:55.234793+07:00,Hải Phòng,36,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,89%
2025-06-01T02:01:44.919273+07:00,Hải Phòng,33,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-01T03:01:45.290961+07:00,Hải Phòng,42,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,94%
2025-06-01T04:01:53.721970+07:00,Hải Phòng,44,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,94%
2025-06-01T05:02:02.168291+07:00,Hải Phòng,52,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,89%
2025-06-01T06:02:04.405163+07:00,Hải Phòng,55,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,89%
2025-06-01T07:06:21.222149+07:00,Hải Phòng,50,/dl/web/weather/ic-w-01-clear-sky-full.svg,3.7 km/h,70%
2025-06-01T08:30:16.359887+07:00,Hải Phòng,44,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,70%
2025-06-01T09:43:36.299554+07:00,Hải Phòng,39,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,66%
2025-06-01T10:30:09.037770+07:00,Hải Phòng,39,/dl/web/weather/ic-w-01-clear-sky-full.svg,13.0 km/h,59%
2025-06-01T11:13:25.595401+07:00,Hải Phòng,33,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,55%
2025-06-01T12:02:24.670874+07:00,Hải Phòng,33,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,47%
2025-06-01T13:02:05.179960+07:00,Hải Phòng,22,/dl/web/weather/ic-w-01-clear-sky-full.svg,16.7 km/h,47%
2025-06-01T14:01:55.221300+07:00,Hải Phòng,28,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.8 km/h,50%
2025-06-01T15:02:03.034605+07:00,Hải Phòng,33,/dl/web/weather/ic-w-01-clear-sky-full.svg,14.8 km/h,47%
2025-06-01T16:01:58.118401+07:00,Hải Phòng,17,/dl/web/weather/ic-w-01-clear-sky-full.svg,16.7 km/h,47%
2025-06-01T17:01:49.498122+07:00,Hải Phòng,22,/dl/web/weather/ic-w-01-clear-sky-full.svg,18.5 km/h,59%
2025-06-01T18:01:45.810976+07:00,Hải Phòng,39,/dl/web/weather/ic-w-01-clear-sky-full.svg,20.4 km/h,56%
2025-06-01T19:02:12.404430+07:00,Hải Phòng,44,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,62%
2025-06-01T20:08:12.341341+07:00,Hải Phòng,52,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,66%
2025-06-01T21:01:41.432222+07:00,Hải Phòng,59,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,66%
2025-06-01T22:01:47.328969+07:00,Hải Phòng,58,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,14.8 km/h,66%
2025-06-01T23:01:51.344279+07:00,Hải Phòng,50,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,66%
2025-06-02T00:01:52.156296+07:00,Hải Phòng,53,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,70%
2025-06-02T01:01:59.687057+07:00,Hải Phòng,54,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,13.0 km/h,74%
2025-06-02T02:01:57.236418+07:00,Hải Phòng,54,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,74%
2025-06-02T03:02:04.094189+07:00,Hải Phòng,54,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,79%
2025-06-02T04:01:50.833343+07:00,Hải Phòng,50,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,79%
2025-06-02T05:01:59.365295+07:00,Hải Phòng,42,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,74%
2025-06-02T06:01:50.383475+07:00,Hải Phòng,36,/dl/web/weather/ic-w-01-clear-sky-full.svg,5.5 km/h,74%
2025-06-02T07:05:29.485505+07:00,Hải Phòng,33,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,70%
2025-06-02T08:29:43.728994+07:00,Hải Phòng,44,/dl/web/weather/ic-w-01-clear-sky-full.svg,11.1 km/h,66%
2025-06-02T09:33:58.010727+07:00,Hải Phòng,53,/dl/web/weather/ic-w-01-clear-sky-full.svg,9.2 km/h,62%
