timestamp,city,aqi,weather_icon,wind_speed,humidity
2026-02-01T00:03:49.738970+07:00,Hà Nội,97,/dl/assets/svg/weather/ic-weather-02n.svg,3.7 km/h,71%
2026-02-01T01:01:58.758091+07:00,Hà Nội,97,/dl/assets/svg/weather/ic-weather-02n.svg,3.7 km/h,71%
2026-02-01T02:03:31.545311+07:00,Hà Nội,103,/dl/assets/svg/weather/ic-weather-04n.svg,6.1 km/h,67%
2026-02-01T03:01:55.865174+07:00,Hà Nội,99,/dl/assets/svg/weather/ic-weather-04n.svg,6 km/h,70%
2026-02-01T04:01:37.895932+07:00,Hà Nội,99,/dl/assets/svg/weather/ic-weather-04n.svg,6 km/h,70%
2026-02-01T05:01:47.993067+07:00,Hà Nội,98,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,69%
2026-02-01T06:01:34.387509+07:00,Hà Nội,97,/dl/assets/svg/weather/ic-weather-04n.svg,5.1 km/h,70%
2026-02-01T07:07:07.938364+07:00,Hà Nội,106,/dl/assets/svg/weather/ic-weather-04d.svg,5.1 km/h,70%
2026-02-01T08:30:58.973181+07:00,Hà Nội,134,/dl/assets/svg/weather/ic-weather-04d.svg,7.3 km/h,69%
2026-02-01T09:58:45.947689+07:00,Hà Nội,154,/dl/assets/svg/weather/ic-weather-04d.svg,8.1 km/h,66%
2026-02-01T11:01:58.530628+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04d.svg,7.6 km/h,67%
2026-02-01T12:26:35.179265+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04d.svg,6.4 km/h,60%
2026-02-01T13:13:34.200929+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04d.svg,6.2 km/h,60%
2026-02-01T14:13:45.509349+07:00,Hà Nội,153,/dl/assets/svg/weather/ic-weather-04d.svg,7.5 km/h,60%
2026-02-01T15:03:17.484991+07:00,Hà Nội,154,/dl/assets/svg/weather/ic-weather-04d.svg,8.5 km/h,59%
2026-02-01T16:05:07.014962+07:00,Hà Nội,153,/dl/assets/svg/weather/ic-weather-04d.svg,8.6 km/h,61%
2026-02-01T17:02:21.958745+07:00,Hà Nội,155,/dl/assets/svg/weather/ic-weather-04d.svg,8.7 km/h,60%
2026-02-01T18:03:07.050072+07:00,Hà Nội,159,/dl/assets/svg/weather/ic-weather-04n.svg,7.6 km/h,62%
2026-02-01T19:02:41.190635+07:00,Hà Nội,164,/dl/assets/svg/weather/ic-weather-04n.svg,7.6 km/h,62%
2026-02-01T20:16:14.020744+07:00,Hà Nội,180,/dl/assets/svg/weather/ic-weather-04n.svg,5.9 km/h,64%
2026-02-01T21:04:47.729329+07:00,Hà Nội,180,/dl/assets/svg/weather/ic-weather-04n.svg,6.4 km/h,65%
2026-02-01T22:02:55.046658+07:00,Hà Nội,185,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,65%
2026-02-01T23:02:27.768081+07:00,Hà Nội,193,/dl/assets/svg/weather/ic-weather-04n.svg,6.6 km/h,65%
2026-02-02T00:04:11.880745+07:00,Hà Nội,193,/dl/assets/svg/weather/ic-weather-04n.svg,6.1 km/h,65%
2026-02-02T01:02:51.677395+07:00,Hà Nội,173,/dl/assets/svg/weather/ic-weather-04n.svg,6.1 km/h,65%
2026-02-02T02:06:11.205968+07:00,Hà Nội,152,/dl/assets/svg/weather/ic-weather-04n.svg,5.8 km/h,69%
2026-02-02T03:01:43.233761+07:00,Hà Nội,155,/dl/assets/svg/weather/ic-weather-04n.svg,5.8 km/h,69%
2026-02-02T04:03:26.038209+07:00,Hà Nội,161,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,67%
2026-02-02T05:12:59.727387+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04n.svg,5.4 km/h,68%
2026-02-02T06:14:48.926958+07:00,Hà Nội,157,/dl/assets/svg/weather/ic-weather-04n.svg,4.7 km/h,68%
2026-02-02T08:07:30.901843+07:00,Hà Nội,168,/dl/assets/svg/weather/ic-weather-04d.svg,7.2 km/h,66%
2026-02-02T11:12:11.970323+07:00,Hà Nội,160,/dl/assets/svg/weather/ic-weather-04d.svg,10 km/h,63%
2026-02-02T12:56:31.372741+07:00,Hà Nội,156,/dl/assets/svg/weather/ic-weather-04d.svg,8.6 km/h,60%
