timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-06-01T00:02:13.731918+07:00,Vinh,28,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,15.4 km/h,74%
2025-06-01T01:02:14.618007+07:00,Vinh,28,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,74%
2025-06-01T02:02:02.682088+07:00,Vinh,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,74%
2025-06-01T03:02:02.673694+07:00,Vinh,28,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,78%
2025-06-01T04:02:11.095975+07:00,Vinh,22,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,79%
2025-06-01T05:02:20.119379+07:00,Vinh,28,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.3 km/h,79%
2025-06-01T06:02:22.033695+07:00,Vinh,33,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,82%
2025-06-01T07:06:52.843547+07:00,Vinh,50,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,14.6 km/h,78%
2025-06-01T08:30:35.798830+07:00,Vinh,66,/dl/web/weather/ic-w-02-new-clouds-full.svg,18.5 km/h,73%
2025-06-01T09:43:54.747548+07:00,Vinh,68,/dl/web/weather/ic-w-02-new-clouds-full.svg,24.9 km/h,66%
2025-06-01T10:30:27.570270+07:00,Vinh,55,/dl/web/weather/ic-w-02-new-clouds-full.svg,28.5 km/h,59%
2025-06-01T11:13:48.867870+07:00,Vinh,55,/dl/web/weather/ic-w-02-new-clouds-full.svg,28.6 km/h,55%
2025-06-01T12:02:45.019257+07:00,Vinh,56,/dl/web/weather/ic-w-02-new-clouds-full.svg,30.7 km/h,52%
2025-06-01T13:02:24.315389+07:00,Vinh,39,/dl/web/weather/ic-w-02-new-clouds-full.svg,30.9 km/h,52%
2025-06-01T14:02:14.367502+07:00,Vinh,39,/dl/web/weather/ic-w-01-clear-sky-full.svg,31.2 km/h,53%
2025-06-01T15:02:21.577278+07:00,Vinh,33,/dl/web/weather/ic-w-01-clear-sky-full.svg,30.6 km/h,54%
2025-06-01T16:02:16.121313+07:00,Vinh,53,/dl/web/weather/ic-w-01-clear-sky-full.svg,29.1 km/h,57%
2025-06-01T17:02:08.355842+07:00,Vinh,60,/dl/web/weather/ic-w-01-clear-sky-full.svg,25.6 km/h,61%
2025-06-01T18:02:03.193716+07:00,Vinh,68,/dl/web/weather/ic-w-01-clear-sky-full.svg,25.6 km/h,61%
