timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-05-01T00:02:22.430174+07:00,Vinh,77,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,2.9 km/h,93%
2025-05-01T01:02:30.648877+07:00,Vinh,86,/dl/web/weather/ic-w-12-night-rain-full.svg,4.0 km/h,94%
2025-05-01T02:02:13.055240+07:00,Vinh,88,/dl/web/weather/ic-w-12-night-rain-full.svg,4.0 km/h,94%
2025-05-01T03:02:23.779521+07:00,Vinh,99,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.1 km/h,94%
2025-05-01T04:02:22.373356+07:00,Vinh,112,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.0 km/h,95%
2025-05-01T05:02:10.764927+07:00,Vinh,110,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,6.6 km/h,95%
2025-05-01T06:02:16.563722+07:00,Vinh,119,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,7.6 km/h,94%
2025-05-01T07:05:50.643336+07:00,Vinh,129,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.0 km/h,88%
2025-05-01T08:30:01.278419+07:00,Vinh,107,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.9 km/h,79%
2025-05-01T09:32:54.613186+07:00,Vinh,105,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,78%
2025-05-01T10:22:16.732039+07:00,Vinh,117,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.2 km/h,82%
2025-05-01T11:05:09.842177+07:00,Vinh,117,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.7 km/h,83%
