timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-12-02T01:43:03.803692+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T01:45:22.246204+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T01:47:10.012265+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T01:48:24.620573+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T01:49:25.554105+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T02:04:17.818750+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-01n.svg,3.4 km/h,100%
2025-12-02T03:02:00.342133+07:00,Cần Thơ,79,/dl/assets/svg/weather/ic-weather-01n.svg,2.3 km/h,100%
2025-12-02T04:01:47.486182+07:00,Cần Thơ,77,/dl/assets/svg/weather/ic-weather-04n.svg,5.7 km/h,100%
2025-12-02T05:01:50.321406+07:00,Cần Thơ,75,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,100%
2025-12-02T06:02:12.981587+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-04n.svg,0 km/h,100%
2025-12-02T07:04:57.092588+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-04d.svg,2.3 km/h,100%
2025-12-02T08:29:43.792488+07:00,Cần Thơ,79,/dl/assets/svg/weather/ic-weather-02d.svg,2.3 km/h,100%
2025-12-02T09:31:48.268595+07:00,Cần Thơ,64,/dl/assets/svg/weather/ic-weather-02d.svg,3.4 km/h,84%
2025-12-02T10:25:35.968075+07:00,Cần Thơ,66,/dl/assets/svg/weather/ic-weather-02d.svg,1.1 km/h,79%
2025-12-02T11:07:48.481087+07:00,Cần Thơ,69,/dl/assets/svg/weather/ic-weather-02d.svg,4.6 km/h,74%
2025-12-02T12:02:08.179989+07:00,Cần Thơ,69,/dl/assets/svg/weather/ic-weather-02d.svg,4.6 km/h,74%
2025-12-02T13:02:38.623070+07:00,Cần Thơ,73,/dl/assets/svg/weather/ic-weather-03d.svg,3.4 km/h,66%
2025-12-02T14:03:13.495182+07:00,Cần Thơ,77,/dl/assets/svg/weather/ic-weather-03d.svg,3.4 km/h,79%
2025-12-02T15:02:42.936310+07:00,Cần Thơ,79,/dl/assets/svg/weather/ic-weather-03d.svg,4.6 km/h,66%
2025-12-02T16:04:14.828276+07:00,Cần Thơ,82,/dl/assets/svg/weather/ic-weather-03d.svg,2.3 km/h,74%
2025-12-02T17:02:00.016545+07:00,Cần Thơ,112,/dl/assets/svg/weather/ic-weather-03d.svg,6.9 km/h,79%
2025-12-02T18:01:48.520126+07:00,Cần Thơ,105,/dl/assets/svg/weather/ic-weather-03d.svg,4.6 km/h,79%
2025-12-02T19:02:49.324507+07:00,Cần Thơ,84,/dl/assets/svg/weather/ic-weather-03n.svg,5.7 km/h,89%
2025-12-02T20:13:33.745569+07:00,Cần Thơ,77,/dl/assets/svg/weather/ic-weather-03n.svg,5.7 km/h,89%
2025-12-02T21:02:23.195835+07:00,Cần Thơ,77,/dl/assets/svg/weather/ic-weather-03n.svg,5.7 km/h,89%
2025-12-02T22:01:54.816337+07:00,Cần Thơ,60,/dl/assets/svg/weather/ic-weather-04n.svg,3.4 km/h,100%
2025-12-02T23:02:25.235633+07:00,Cần Thơ,64,/dl/assets/svg/weather/ic-weather-04n.svg,1.1 km/h,100%
2025-12-03T00:03:58.896793+07:00,Cần Thơ,64,/dl/assets/svg/weather/ic-weather-04n.svg,4.6 km/h,100%
2025-12-03T01:02:44.126934+07:00,Cần Thơ,68,/dl/assets/svg/weather/ic-weather-04n.svg,1.1 km/h,100%
2025-12-03T02:03:26.134338+07:00,Cần Thơ,71,/dl/assets/svg/weather/ic-weather-04n.svg,2.3 km/h,100%
2025-12-03T03:01:51.990016+07:00,Cần Thơ,68,/dl/assets/svg/weather/ic-weather-04n.svg,1.1 km/h,100%
